d03,v05,d08,d9,d10,d11,d12,d13,d14,d16,D16_1,Q15_new,Q16_new,np
Gaza strip,City,Female,35,yes,Secondary,Housewife,Unemployed,Married,6,Family income does not cover the expenses of our needs and we face great difficulties in covering,None of the above / No opinion / I do not know / I do not remember,Others,Old
Gaza strip,City,Male,49,no,BA\ BSc,Employee,Public sector,Married,10,Family income does not cover our expenses we face some difficulties in covering,Hamas,Others,Old
Gaza strip,City,Female,45,yes,Secondary,Housewife,Unemployed,Married,9,Family income does not cover our expenses we face some difficulties in covering,Hamas,Others,Old
Gaza strip,City,Female,47,yes,Secondary,Housewife,Unemployed,Married,6,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,Others,Old
Gaza strip,City,Female,42,yes,BA\ BSc,Housewife,Unemployed,Other,6,Family income does not cover our expenses we face some difficulties in covering,None of the above / No opinion / I do not know / I do not remember,Others,Old
West Bank,village,Male,74,yes,Illiterate,Farmer,Private and NGos,Married,2,Family income does not cover our expenses we face some difficulties in covering,Fateh,Fateh,Old
West Bank,City,Male,52,no,Secondary,"Professional, craftsman, specialist",Private and NGos,Married,4,Family income does not cover our expenses we face some difficulties in covering,None of the above / No opinion / I do not know / I do not remember,Others,Old
West Bank,City,Female,53,no,Illiterate,Housewife,Unemployed,Married,6,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,Old
Gaza strip,City,Female,24,yes,Associatte Diploma,Housewife,Unemployed,Single,8,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,not decided,New
Gaza strip,City,Female,30,yes,BA\ BSc,Housewife,Unemployed,Married,7,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,Hamas,New
Gaza strip,City,Female,25,yes,Associatte Diploma,unemployed,Unemployed,Single,6,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,I will not participate in the elections,New
Gaza strip,City,Female,59,no,Elementary,Housewife,Unemployed,Married,2,Family income does not cover our expenses we face some difficulties in covering,Hamas,not decided,Old
Gaza strip,camp,Male,20,yes,Secondary,Student,Unemployed,Single,6,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Fateh,New
Gaza strip,City,Female,56,yes,Illiterate,Housewife,Unemployed,Married,10,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
Gaza strip,City,Male,46,no,BA\ BSc,Employee,Private and NGos,Married,5,Family income does not cover our expenses we face some difficulties in covering,Others,Others,Old
West Bank,City,Female,24,no,Associatte Diploma,Housewife,Unemployed,Married,1,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Male,44,yes,Preparatory,Worker,Private and NGos,Married,2,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,41,yes,Preparatory,Employee,Private and NGos,Married,6,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Male,40,no,Secondary,Worker,Private and NGos,Married,6,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Male,27,no,Preparatory,Worker,Private and NGos,Single,4,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,not decided,New
West Bank,City,Female,42,yes,Secondary,Housewife,Unemployed,Other,7,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,not decided,Old
West Bank,camp,Female,23,yes,Secondary,Housewife,Unemployed,Married,2,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,not decided,New
West Bank,City,Male,20,no,Preparatory,Worker,Private and NGos,Single,3,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,not decided,New
West Bank,village,Male,57,no,Illiterate,Farmer,Private and NGos,Married,6,Family income does not cover our expenses we face some difficulties in covering,Fateh,Fateh,Old
West Bank,village,Male,40,no,Preparatory,"Professional, craftsman, specialist",Private and NGos,Married,6,The family income covers the expenses of our needs without facing any difficulties,Fateh,Fateh,Old
West Bank,City,Female,46,no,BA\ BSc,Housewife,Unemployed,Single,2,Family income does not cover our expenses we face some difficulties in covering,Fateh,Fateh,Old
West Bank,City,Male,42,no,Secondary,"Professional, craftsman, specialist",Private and NGos,Married,6,Family income does not cover our expenses we face some difficulties in covering,Fateh,Fateh,Old
West Bank,City,Male,26,no,BA\ BSc,Worker,Private and NGos,Single,4,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Fateh,New
West Bank,City,Male,55,no,Secondary,"Professional, craftsman, specialist",Private and NGos,Married,5,The family income covers the expenses of our needs without facing any difficulties,Fateh,Fateh,Old
West Bank,City,Male,48,yes,Preparatory,Worker,Private and NGos,Married,8,The family income covers the expenses of our needs without facing any difficulties,None of the above / No opinion / I do not know / I do not remember,not decided,Old
West Bank,City,Male,44,no,Master Degree and Above,Employee,Private and NGos,Single,4,The family income covers the expenses of our needs without facing any difficulties,None of the above / No opinion / I do not know / I do not remember,not decided,Old
West Bank,City,Female,48,yes,Associatte Diploma,"Professional, craftsman, specialist",Unemployed,Married,4,Family income does not cover our expenses we face some difficulties in covering,None of the above / No opinion / I do not know / I do not remember,Fateh,Old
